epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,97.7834,1.0539,0.54323,1.10276,0.98713,1,0.995,0.64255,1.26022,0.51718,1.16223,0.000947837,0.000947837,0.000947837
28,101.341,1.00815,0.53934,1.1024,0.99075,1,0.995,0.77192,0.86759,0.50837,0.95491,0.00088592,0.00088592,0.00088592
29,104.938,0.9499,0.51611,1.06701,0.9387,1,0.99468,0.73233,0.98927,0.61718,0.99396,0.000824492,0.000824492,0.000824492
30,108.516,1.01557,0.51564,1.08977,0.94272,0.99444,0.992,0.75849,0.88652,0.44082,0.95903,0.000763797,0.000763797,0.000763797
31,112.025,0.99084,0.51374,1.08252,0.96038,0.99444,0.99327,0.75593,0.91285,0.40682,0.97143,0.000704073,0.000704073,0.000704073
32,115.546,0.95524,0.49442,1.06291,0.98896,0.99545,0.99494,0.79475,0.83941,0.36758,0.95099,0.000645557,0.000645557,0.000645557
33,119.123,0.90147,0.47893,1.03489,0.99445,0.99455,0.995,0.74744,0.97419,0.37134,0.98185,0.000588479,0.000588479,0.000588479
34,122.673,0.92049,0.48581,1.05518,0.99886,1,0.995,0.80199,0.81065,0.33955,0.91955,0.000533064,0.000533064,0.000533064
35,126.221,0.88767,0.4697,1.03574,0.99922,1,0.995,0.8194,0.76555,0.33226,0.90785,0.000479531,0.000479531,0.000479531
36,129.893,0.88667,0.46166,1.03046,0.99901,1,0.995,0.80038,0.83645,0.34246,0.92772,0.000428093,0.000428093,0.000428093
37,133.411,0.88624,0.45716,1.03125,0.99913,1,0.995,0.81173,0.78048,0.32282,0.90866,0.00037895,0.00037895,0.00037895
38,136.917,0.87171,0.44492,1.03096,0.99344,1,0.995,0.80444,0.77877,0.3269,0.90823,0.000332298,0.000332298,0.000332298
39,140.519,0.87551,0.45814,1.02492,0.99369,1,0.995,0.81376,0.76586,0.32505,0.90827,0.000288321,0.000288321,0.000288321
40,144.07,0.8615,0.4477,1.03231,0.99878,1,0.995,0.82145,0.76897,0.31841,0.90978,0.000247192,0.000247192,0.000247192
41,166.803,0.77005,0.342,0.96474,0.99784,1,0.995,0.81046,0.80803,0.32026,0.91861,0.000209073,0.000209073,0.000209073
42,170.373,0.76256,0.34849,0.96338,0.99719,1,0.995,0.82,0.76153,0.31757,0.90555,0.000174115,0.000174115,0.000174115
43,173.83,0.76248,0.33875,0.96769,0.99689,1,0.995,0.81674,0.76329,0.32029,0.90278,0.000142456,0.000142456,0.000142456
44,177.33,0.73255,0.3328,0.94678,0.99534,1,0.995,0.81151,0.81995,0.32478,0.91575,0.000114221,0.000114221,0.000114221
45,180.776,0.7528,0.33363,0.95601,0.99589,1,0.995,0.8057,0.83982,0.32529,0.92069,8.95213e-05,8.95213e-05,8.95213e-05
46,184.264,0.73525,0.32596,0.94145,0.99702,1,0.995,0.82199,0.78043,0.31404,0.90317,6.8454e-05,6.8454e-05,6.8454e-05
47,187.808,0.73586,0.32396,0.95587,0.99753,1,0.995,0.82848,0.75533,0.30904,0.89653,5.11027e-05,5.11027e-05,5.11027e-05
48,191.383,0.72583,0.32578,0.95454,0.9977,1,0.995,0.82146,0.77437,0.30847,0.90133,3.75356e-05,3.75356e-05,3.75356e-05
49,194.883,0.70865,0.31406,0.9337,0.99772,1,0.995,0.81676,0.79902,0.31182,0.90818,2.78064e-05,2.78064e-05,2.78064e-05
50,198.382,0.73789,0.321,0.94738,0.99764,1,0.995,0.81509,0.80477,0.31255,0.91025,2.19535e-05,2.19535e-05,2.19535e-05
