epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.72485,2.4531,3.7311,2.02567,0.25237,0.23333,0.18947,0.0968,1.53662,2.53069,1.24431,0.00012,0.00012,0.00012
2,8.29875,1.83392,2.10255,1.56288,0.88492,0.86111,0.94092,0.66752,1.0364,2.11959,1.06192,0.000259746,0.000259746,0.000259746
3,12.0281,1.37977,1.12166,1.26498,0.4987,0.53333,0.59652,0.36246,1.46232,5.53307,1.19846,0.000398439,0.000398439,0.000398439
4,15.7018,1.36643,0.91214,1.27348,0.092,0.93333,0.09252,0.06452,1.00338,inf,1.05745,0.000535265,0.000535265,0.000535265
5,19.3426,1.36291,0.87247,1.27268,0.0951,0.85,0.09354,0.05915,1.16438,29.3985,1.14375,0.000669425,0.000669425,0.000669425
6,23.0281,1.32383,0.74871,1.24966,0.55,0.73889,0.57618,0.35138,1.22117,2.40685,1.1922,0.000800134,0.000800134,0.000800134
7,26.6689,1.34257,0.759,1.26075,0.75494,0.71884,0.7451,0.44978,1.47252,2.08606,1.46029,0.00092663,0.00092663,0.00092663
8,30.2131,1.30541,0.73186,1.24117,0.02875,0.15556,0.021,0.00744,3.28008,52.9278,3.46248,0.00104818,0.00104818,0.00104818
9,33.7643,1.28558,0.70432,1.22888,0.00495,0.28889,0.00316,0.00117,3.2023,inf,4.05931,0.00116408,0.00116408,0.00116408
10,37.3268,1.29024,0.6784,1.22822,0.86627,0.71667,0.8018,0.47775,1.43335,1.41767,1.29328,0.00127366,0.00127366,0.00127366
11,40.867,1.28427,0.71838,1.23724,0.81823,0.73889,0.78644,0.43094,1.62501,4.16649,1.36462,0.0013763,0.0013763,0.0013763
12,44.4977,1.2119,0.66951,1.18744,0.00712,0.49444,0.00533,0.00311,1.45054,inf,1.29653,0.00147143,0.00147143,0.00147143
13,48.0311,1.22916,0.64909,1.17797,0.08476,0.64444,0.08266,0.05111,1.23273,13.6299,1.13421,0.00155851,0.00155851,0.00155851
14,51.58,1.25027,0.67129,1.2018,0.96016,0.92778,0.96621,0.53941,1.58051,1.10686,1.37903,0.00163707,0.00163707,0.00163707
15,55.1356,1.20425,0.66874,1.1971,0.92991,0.73712,0.84425,0.46379,1.57946,8.36555,1.3321,0.00164105,0.00164105,0.00164105
16,58.6628,1.17442,0.64794,1.16716,0.68296,0.83333,0.74438,0.4457,1.296,2.71845,1.27284,0.00159191,0.00159191,0.00159191
17,62.192,1.11019,0.60298,1.14909,0.26931,0.38333,0.18654,0.05568,2.47405,2.87591,2.04948,0.00154047,0.00154047,0.00154047
18,65.8293,1.22836,0.63781,1.18673,0.90732,0.84444,0.92166,0.65923,1.01695,0.9977,1.03594,0.00148694,0.00148694,0.00148694
19,69.4006,1.05713,0.59268,1.12141,0.93768,0.8359,0.88522,0.61618,1.14254,1.34756,1.11471,0.00143152,0.00143152,0.00143152
20,72.9337,1.09718,0.59027,1.13506,0.89728,0.82504,0.87154,0.59983,1.15963,1.2978,1.16067,0.00137444,0.00137444,0.00137444
21,76.4391,1.07891,0.57699,1.1131,0.42575,0.73889,0.3844,0.25312,1.15053,1.2937,1.13083,0.00131593,0.00131593,0.00131593
22,79.9614,1.06057,0.57751,1.12959,0.98885,0.98518,0.9945,0.58672,1.35486,0.82189,1.28737,0.0012562,0.0012562,0.0012562
23,83.4646,1.09343,0.56458,1.12844,0.96654,0.96297,0.99197,0.72741,0.92945,0.70443,1.00375,0.00119551,0.00119551,0.00119551
24,87.1012,1.06034,0.53405,1.10283,0.9836,0.98333,0.99009,0.59815,1.34494,0.82573,1.24977,0.00113408,0.00113408,0.00113408
25,90.6524,1.08029,0.56896,1.12773,0.96202,0.98495,0.9928,0.63028,1.20456,0.6003,1.14081,0.00107216,0.00107216,0.00107216
26,94.205,1.02404,0.54203,1.09106,0.98981,1,0.99483,0.59825,1.44451,0.53948,1.24578,0.00101,0.00101,0.00101
