epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,430.531,1.05709,0.57919,1.05428,0.89958,0.88519,0.95491,0.64141,1.20098,0.63722,1.10148,0.00180169,0.00180169,0.00180169
43,440.768,1.04519,0.57284,1.05723,0.9042,0.89684,0.96016,0.62807,1.24863,0.61742,1.13609,0.00179225,0.00179225,0.00179225
44,451.118,1.06365,0.59479,1.07055,0.89515,0.92013,0.96433,0.65076,1.19794,0.61742,1.09295,0.00178263,0.00178263,0.00178263
45,461.107,1.05169,0.57603,1.06072,0.89171,0.92512,0.9671,0.6534,1.20286,0.60686,1.10938,0.00177281,0.00177281,0.00177281
46,471.226,1.04237,0.57554,1.05059,0.90079,0.91015,0.9587,0.63792,1.1875,0.61187,1.09647,0.0017628,0.0017628,0.0017628
47,481.363,1.0359,0.5709,1.05564,0.87745,0.93012,0.96048,0.65631,1.19084,0.57978,1.09832,0.00175261,0.00175261,0.00175261
48,491.708,1.0534,0.57521,1.06621,0.8854,0.93677,0.96344,0.63938,1.21041,0.58613,1.11762,0.00174223,0.00174223,0.00174223
49,502.185,1.07062,0.58342,1.07039,0.89214,0.93588,0.96451,0.65192,1.18125,0.581,1.09592,0.00173168,0.00173168,0.00173168
50,512.555,1.03361,0.55857,1.05101,0.91034,0.92679,0.96447,0.66399,1.18172,0.56539,1.09312,0.00172095,0.00172095,0.00172095
51,522.715,1.04494,0.56683,1.05448,0.89512,0.90889,0.95771,0.63774,1.22806,0.60273,1.12576,0.00171004,0.00171004,0.00171004
52,532.922,1.05492,0.56545,1.04961,0.89538,0.91138,0.95633,0.64743,1.16396,0.6029,1.08816,0.00169895,0.00169895,0.00169895
53,543.062,1.0382,0.56026,1.04987,0.90783,0.91777,0.95952,0.64928,1.19091,0.56639,1.10492,0.0016877,0.0016877,0.0016877
54,553.26,1.00639,0.5527,1.03881,0.91928,0.91514,0.96043,0.64915,1.17169,0.57324,1.07864,0.00167628,0.00167628,0.00167628
55,563.344,1.01246,0.55987,1.03785,0.89242,0.89721,0.94593,0.62893,1.21161,0.60412,1.10707,0.0016647,0.0016647,0.0016647
56,573.584,1.0221,0.55362,1.03778,0.90861,0.90682,0.9576,0.64601,1.18436,0.57015,1.10012,0.00165295,0.00165295,0.00165295
57,583.593,1.01584,0.56217,1.03854,0.88807,0.93178,0.96069,0.63827,1.20552,0.62097,1.10515,0.00164105,0.00164105,0.00164105
58,593.802,1.02644,0.55902,1.05143,0.90815,0.93776,0.96509,0.66545,1.1756,0.55186,1.07708,0.00162899,0.00162899,0.00162899
59,603.837,1.01813,0.56289,1.03893,0.88894,0.92346,0.96113,0.65774,1.17149,0.57725,1.08768,0.00161678,0.00161678,0.00161678
60,613.869,1.00196,0.54457,1.0332,0.90181,0.93223,0.9662,0.653,1.20822,0.57032,1.09772,0.00160442,0.00160442,0.00160442
61,624.025,1.00935,0.54383,1.03722,0.91641,0.92679,0.9683,0.65439,1.21861,0.57282,1.09209,0.00159191,0.00159191,0.00159191
62,634.267,0.9873,0.52971,1.02672,0.90474,0.92346,0.966,0.65501,1.19196,0.56637,1.0914,0.00157926,0.00157926,0.00157926
63,644.498,0.99093,0.53573,1.02489,0.91385,0.91847,0.9632,0.66744,1.15337,0.57296,1.06977,0.00156646,0.00156646,0.00156646
64,654.628,0.99354,0.54168,1.02956,0.91208,0.91479,0.96123,0.66003,1.17672,0.58343,1.08558,0.00155353,0.00155353,0.00155353
65,664.757,1.00143,0.54135,1.03475,0.91218,0.92845,0.96795,0.67013,1.17304,0.54423,1.08582,0.00154047,0.00154047,0.00154047
66,674.839,1.00004,0.53563,1.02465,0.87903,0.9401,0.9649,0.66099,1.17044,0.58223,1.07313,0.00152727,0.00152727,0.00152727
67,685.114,0.98544,0.52816,1.02666,0.87837,0.95507,0.96498,0.6545,1.18399,0.56227,1.08057,0.00151395,0.00151395,0.00151395
68,695.31,0.97625,0.53136,1.01853,0.89629,0.93473,0.95184,0.64821,1.2075,0.61722,1.11181,0.0015005,0.0015005,0.0015005
69,705.535,0.97107,0.5202,1.0195,0.90153,0.93344,0.95996,0.66738,1.18337,0.57026,1.08691,0.00148694,0.00148694,0.00148694
70,715.698,0.96937,0.52198,1.01668,0.91796,0.93844,0.96655,0.66278,1.19045,0.55218,1.0926,0.00147325,0.00147325,0.00147325
71,726.037,0.97181,0.52409,1.02083,0.90215,0.9204,0.96773,0.64847,1.21007,0.56039,1.11088,0.00145945,0.00145945,0.00145945
