epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.713,1.7979,1.58913,1.44864,0.9754,0.96648,0.98857,0.63097,1.23703,1.01685,1.12655,0.000385185,0.000385185,0.000385185
2,46.7699,1.41009,0.83344,1.28402,0.94442,0.94932,0.97388,0.58958,1.23121,1.52521,1.13416,0.000766162,0.000766162,0.000766162
3,52.7301,1.35622,0.73073,1.27845,0.88614,0.95657,0.96917,0.66419,1.08025,1.61802,1.07028,0.00107314,0.00107314,0.00107314
4,58.773,1.37955,0.81267,1.28767,0.87709,0.95678,0.9733,0.64557,1.16936,1.09454,1.08832,0.00126173,0.00126173,0.00126173
5,64.6654,1.26498,0.66885,1.24274,0.93519,0.94972,0.98229,0.69057,1.06422,0.66317,1.05599,0.00130618,0.00130618,0.00130618
6,70.6994,1.28663,0.66131,1.22721,0.94243,0.91448,0.9733,0.62665,1.19719,0.82202,1.12494,0.00101,0.00101,0.00101
7,76.6028,1.23702,0.59017,1.18769,0.98879,0.98529,0.99461,0.72209,0.96834,0.56671,1.00638,0.000704073,0.000704073,0.000704073
8,82.5799,1.22971,0.56845,1.19991,0.97676,0.98883,0.9945,0.72163,0.95412,0.54744,1.00245,0.000428093,0.000428093,0.000428093
9,88.495,1.1339,0.55387,1.14744,0.99182,0.98883,0.99478,0.75872,0.90761,0.51052,0.98313,0.000209073,0.000209073,0.000209073
10,94.4966,1.06555,0.53674,1.11559,0.99439,0.99098,0.99494,0.76623,0.90899,0.49931,0.97864,6.8454e-05,6.8454e-05,6.8454e-05
